encoderAngle, potentiometerVoltage
-522.24609375, 0.46875
-523.212890625, 0.484375
-524.35546875, 0.48046875
-525.498046875, 0.4765625
-526.9921875, 0.4921875
-528.310546875, 0.4765625
-529.453125, 0.49609375
-530.595703125, 0.4765625
-531.826171875, 0.4921875
-532.96875, 0.4921875
-534.0234375, 0.48828125
-534.814453125, 0.50390625
-535.60546875, 0.48046875
-536.30859375, 0.5
-536.8359375, 0.48828125
-537.275390625, 0.49609375
-537.71484375, 0.5
-538.154296875, 0.484375
-538.681640625, 0.5
-539.208984375, 0.484375
-540.0, 0.50390625
-540.703125, 0.49609375
-541.494140625, 0.49609375
-542.28515625, 0.5
-543.1640625, 0.4921875
-544.130859375, 0.5078125
-545.09765625, 0.4921875
-546.064453125, 0.50390625
-547.03125, 0.50390625
-548.0859375, 0.5
-549.052734375, 0.515625
-550.107421875, 0.49609375
-551.162109375, 0.5234375
-552.3046875, 0.5
-553.271484375, 0.51171875
-554.501953125, 0.515625
-555.64453125, 0.50390625
-556.69921875, 0.5234375
-557.75390625, 0.5078125
-558.6328125, 0.51953125
-559.51171875, 0.51171875
-560.478515625, 0.51171875
-561.4453125, 0.51953125
-562.236328125, 0.5078125
-562.939453125, 0.5234375
-563.5546875, 0.5078125
-564.169921875, 0.5234375
-564.78515625, 0.515625
-565.400390625, 0.515625
-566.015625, 0.52734375
-566.630859375, 0.51171875
-567.158203125, 0.53515625
-567.59765625, 0.51171875
-568.212890625, 0.5234375
-568.740234375, 0.5234375
-569.35546875, 0.51953125
-569.970703125, 0.53125
-570.5859375, 0.515625
-571.201171875, 0.53125
-571.904296875, 0.51953125
-572.6953125, 0.52734375
-573.486328125, 0.53125
-574.189453125, 0.51953125
-574.98046875, 0.5390625
-575.859375, 0.51953125
-576.73828125, 0.5390625
-577.705078125, 0.52734375
-578.671875, 0.53125
-579.814453125, 0.53515625
-580.78125, 0.5234375
-581.923828125, 0.546875
-583.06640625, 0.52734375
-584.208984375, 0.546875
-585.3515625, 0.5390625
-586.494140625, 0.53515625
-587.63671875, 0.55078125
-589.04296875, 0.53125
-590.44921875, 0.5546875
-591.767578125, 0.5390625
-593.0859375, 0.55078125
-594.228515625, 0.55078125
-595.37109375, 0.54296875
-596.25, 0.55859375
-597.3046875, 0.54296875
-598.271484375, 0.5625
-599.150390625, 0.546875
-600.1171875, 0.55078125
-600.99609375, 0.55859375
-601.962890625, 0.546875
-603.017578125, 0.5625
-604.248046875, 0.55078125
-605.56640625, 0.5625
-607.060546875, 0.55859375
-608.5546875, 0.55859375
-609.9609375, 0.56640625
-611.455078125, 0.5546875
-612.861328125, 0.57421875
-614.267578125, 0.5625
-615.41015625, 0.56640625
-616.552734375, 0.56640625
-617.51953125, 0.5625
-618.3984375, 0.578125
-619.1015625, 0.55859375
-619.716796875, 0.58203125
-620.33203125, 0.5625
